seq	mot	start	end	strand	score	qual	mot.clust
MTD	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	41	50	-	5.08806454521152	proto	8
MTD	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)	175	184	-	3.70903318871267	proto	8
MTD	ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)	374	389	-	4.11634109417185	proto	22
MTD	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)	328	337	+	5.98724257080811	mot	22
MTD	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)	179	188	-	3.47166129857268	proto	22
MTD	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)	263	272	-	6.01296941634813	mot	22
MTD	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)	290	299	-	5.54202637886046	mot	22
MTD	Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)	28	37	+	3.13453320744003	proto	3
MTD	Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)	88	97	-	3.5002211897247	proto	3
MTD	Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)	265	274	-	3.61153066827283	proto	3
MTD	Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)	279	288	-	3.61153066827283	proto	3
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	38	49	+	4.23706498400363	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	172	183	+	6.68220627552968	mot	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	27	38	-	3.18202426093101	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	40	51	-	5.25546125913417	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	166	177	-	3.60616911586125	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	174	185	-	5.35904151111881	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	236	247	-	3.51454744938798	proto	7
MTD	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)	252	263	-	4.07489644179518	proto	7
MTD	Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)	172	183	+	6.04711658857308	mot	8
MTD	Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)	174	185	-	6.27843838983168	mot	8
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	13	22	+	4.14909037457456	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	24	33	+	3.36766128331991	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	158	167	+	4.26420058312184	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	341	350	+	3.46705105065517	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	15	24	-	5.41570092745161	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	26	35	-	4.06984795336203	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	160	169	-	4.04691433421025	proto	124
MTD	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)	373	382	-	4.0852088367462	proto	124
MTD	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)	157	168	+	4.41936203700958	proto	124
MTD	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)	159	170	-	4.450247688816	proto	124
MTD	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)	12	23	+	3.5407514918125	proto	124
MTD	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)	157	168	+	4.14361274090363	proto	124
MTD	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)	14	25	-	3.91305464359604	proto	124
MTD	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)	159	170	-	4.24470335854077	proto	124
MTD	Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)	172	183	+	3.5728305522983	proto	8
MTD	Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)	174	185	-	3.95826195182618	proto	8
MTD	Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)	83	92	+	3.6230531542507	proto	44
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	227	236	+	4.35817889503449	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	349	358	+	4.53582972554147	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	403	412	+	3.7949444587629	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	123	132	-	5.08966633780078	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	126	135	-	3.6687670436368	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	314	323	-	3.87345352844001	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	364	373	-	3.11546726274986	proto	50
MTD	Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)	377	386	-	3.50848264271635	proto	50
MTD	IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)	114	128	+	6.55158372808259	proto	37
MTD	IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)	38	52	-	6.89885496972842	proto	37
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	23	34	+	3.71203890408109	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	86	97	+	6.88248171084352	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	170	181	+	3.91579379711741	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	323	334	+	4.61406686252694	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	42	53	-	5.07668850315769	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	91	102	-	6.7155357225385	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	168	179	-	5.76157010311904	proto	17
MTD	Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)	371	382	-	5.07554164545853	proto	17
MTD	Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)	321	335	+	3.33390211871685	proto	25
MTD	Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)	191	205	-	3.362043709418	proto	25
MTD	bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)	175	184	+	3.03196732803112	proto	1
MTD	bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)	173	182	-	3.21117435995636	proto	1
MTD	BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)	40	47	+	2.42374308370519	proto	1
MTD	BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)	174	181	+	2.61342343144471	proto	1
MTD	BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)	176	183	-	4.06950305837806	proto	1
MTD	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)	157	176	+	4.69911229104162	proto	75
MTD	Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)	121	130	-	5.47856529263756	proto	60
MTD	bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)	112	129	+	7.7927558302707	proto	37
MTD	bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)	16	33	-	6.56933854219833	proto	37
MTD	bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)	37	54	-	5.6881699632632	proto	37
MTD	Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)	396	405	+	4.15839775009423	proto	43
MTD	Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)	12	21	-	5.12888628503593	proto	43
MTD	Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)	385	394	-	5.2438452578157	proto	43
MTD	CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	188	199	+	4.05559252735496	proto	43
MTD	CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	343	354	+	4.7233434719539	proto	43
MTD	CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	11	22	-	5.97883668318023	proto	43
MTD	CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	120	131	-	6.06209633560305	proto	43
MTD	CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)	384	395	-	6.02479481161266	proto	43
MTD	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	64	73	+	4.92138725110637	proto	121
MTD	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	189	198	+	3.76868777254878	proto	121
MTD	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	64	73	-	3.1779973223623	proto	121
MTD	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	118	127	-	4.24459181017119	proto	121
MTD	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)	189	198	-	5.41945402488371	proto	121
MTD	Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)	385	394	+	4.37830647802383	proto	122
MTD	CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)	176	183	-	3.45486435231781	proto	1
MTD	c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)	173	182	+	3.88769920284206	proto	1
MTD	c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)	175	184	-	3.72171887306362	proto	1
MTD	COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)	88	99	-	4.09900948602266	proto	15
MTD	COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)	251	262	-	5.08174125109282	proto	15
MTD	COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)	325	336	-	5.47686727814483	proto	15
MTD	COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)	348	359	-	3.40897649037112	proto	15
MTD	COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)	88	95	-	3.04342853297494	proto	15
MTD	COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)	251	258	-	5.24065311031116	proto	15
MTD	COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)	325	332	-	5.77080863262434	proto	15
MTD	CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)	336	343	+	3.07027814702056	proto	53
MTD	CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)	120	127	-	3.12944401902568	proto	53
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	117	126	+	3.97250059585691	proto	40
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	121	130	+	6.10305465270514	proto	40
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	128	137	+	5.18156846966774	proto	40
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	61	70	-	3.18185351417412	proto	40
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	119	128	-	6.10156932008895	proto	40
MTD	CUX1(Homeobox)/K562-CUX1-ChIP-Seq(GSE92882)	126	135	-	6.80298987402393	mot	40
MTD	Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)	125	134	-	3.19635456800701	proto	40
MTD	Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)	129	138	-	3.40495874628875	proto	40
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	58	67	+	4.81737564617283	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	75	84	+	2.7945657878827	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	116	125	+	4.50475983387734	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	120	129	+	4.10784048437157	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	123	132	+	3.67425145496668	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	405	414	+	3.181988699058	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	62	71	-	4.09573794664251	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	120	129	-	4.84956880704836	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	124	133	-	4.7702046332524	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	127	136	-	3.9129847614734	proto	51
MTD	DLX1(Homeobox)/BasalGanglia-Dlx1-ChIP-seq(GSE124936)	388	397	-	3.18598289045746	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	59	68	+	4.36535376234906	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	76	85	+	2.82367604895575	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	117	126	+	4.4846433512316	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	121	130	+	4.21931947512745	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	124	133	+	3.09196800786737	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	406	415	+	3.89610141229704	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	61	70	-	4.2487168586233	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	83	92	-	2.85320389559679	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	119	128	-	4.4945811178795	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	123	132	-	4.31149954584866	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	126	135	-	3.66225920193017	proto	51
MTD	DLX2(Homeobox)/BasalGanglia-Dlx2-ChIP-seq(GSE124936)	408	417	-	3.39029118503848	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	60	67	+	4.3768075680829	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	118	125	+	3.97385558883692	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	122	129	+	3.39534207148502	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	407	414	+	3.81935469008713	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	62	69	-	4.3768075680829	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	120	127	-	3.11443968601862	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	124	131	-	3.75176278890656	proto	51
MTD	DLX5(Homeobox)/BasalGanglia-Dlx5-ChIP-seq(GSE124936)	409	416	-	3.57264366936901	proto	51
MTD	Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)	370	389	+	8.3630753234606	proto	71
MTD	RAR:RXR(NR),DR0/ES-RAR-ChIP-Seq(GSE56893)	325	336	-	6.6793680171167	proto	15
MTD	E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)	173	182	+	5.93119158039604	proto	8
MTD	E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)	175	184	-	7.34273294786781	mot	8
MTD	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)	266	275	-	4.5596812727207	proto	104
MTD	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)	280	289	-	4.51369615947888	proto	104
MTD	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)	293	302	-	4.30238706581167	proto	104
MTD	E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)	72	83	-	3.73111528838668	proto	104
MTD	E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)	354	365	-	3.45705522248446	proto	104
MTD	E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)	51	60	+	3.46264331358092	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	51	60	+	6.20640045065124	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	134	143	+	4.05637531318456	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	264	273	-	4.11582365950487	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	278	287	-	4.19507303115901	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	291	300	-	4.11582365950487	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	304	313	-	5.02826749352863	proto	104
MTD	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)	353	362	-	4.33625763925014	proto	104
MTD	E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)	174	183	-	8.64060200704808	mot	6
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	38	52	+	4.53622708978028	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	100	114	+	4.21221851111287	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	164	178	+	3.77869541018605	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	212	226	+	4.16364005165566	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	39	53	-	4.27182276838099	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	101	115	-	3.58958204142384	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	165	179	-	3.74837401242211	proto	114
MTD	EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)	213	227	-	4.27845422214542	proto	114
MTD	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	40	51	+	4.33107578143938	proto	114
MTD	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	166	177	+	6.10745018908655	proto	114
MTD	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	213	224	+	3.89848783471136	proto	114
MTD	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	167	178	-	6.89543779443749	mot	114
MTD	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)	214	225	-	3.84633606994823	proto	114
MTD	Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)	132	141	+	5.83862248062847	proto	130
MTD	Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)	152	161	+	6.12159375968554	proto	130
MTD	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)	132	143	+	7.78647841837654	proto	130
MTD	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)	152	163	+	8.08476090553098	proto	130
MTD	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)	145	156	-	4.7070505746185	proto	130
MTD	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	264	273	-	5.14264949796524	proto	33
MTD	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	278	287	-	3.91565604264893	proto	33
MTD	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	291	300	-	5.14264949796524	proto	33
MTD	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	304	313	-	4.96204763205082	proto	33
MTD	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)	354	363	-	4.63931787599273	proto	33
MTD	EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)	135	146	+	5.1908765505261	proto	131
MTD	EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)	155	166	+	4.97617917602057	proto	131
MTD	ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)	327	336	+	3.73414478955604	proto	33
MTD	ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)	264	273	-	4.64917306492537	proto	33
MTD	ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)	278	287	-	3.72262583288402	proto	33
MTD	ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)	291	300	-	4.64917306492537	proto	33
MTD	ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)	264	273	-	4.63376583769143	proto	33
MTD	ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)	291	300	-	4.63376583769143	proto	33
MTD	ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)	304	313	-	5.00424838763533	proto	33
MTD	Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	264	273	+	5.63014548051547	proto	33
MTD	Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	278	287	+	4.40943049504646	proto	33
MTD	Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	291	300	+	5.63014548051547	proto	33
MTD	Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	304	313	+	5.45750178253221	proto	33
MTD	Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)	327	336	-	3.9955828727903	proto	33
MTD	ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)	194	203	+	4.17994232328117	proto	33
MTD	ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)	327	336	+	3.44609864515302	proto	33
MTD	ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)	304	313	-	4.94925869514111	proto	33
MTD	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)	263	272	+	6.48206767032376	proto	33
MTD	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)	277	286	+	5.30896622710445	proto	33
MTD	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)	290	299	+	5.90589216634932	proto	33
MTD	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)	353	362	+	4.3232803759818	proto	33
MTD	Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)	263	272	+	5.81982014931202	proto	33
MTD	Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)	277	286	+	5.37697729337341	proto	33
MTD	Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)	290	299	+	5.36783502556896	proto	33
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	59	68	+	3.730968009647	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	117	126	+	4.13833975826753	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	121	130	+	4.80189300312244	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	124	133	+	3.07399898143767	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	385	394	+	2.55498691651811	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	406	415	+	3.52677587192882	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	61	70	-	3.59890828763393	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	78	87	-	2.80461686620105	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	83	92	-	2.61767618380489	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	119	128	-	4.5835470134633	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	123	132	-	4.29777441305979	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	126	135	-	3.48945377703066	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	314	323	-	2.68826721415762	proto	51
MTD	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)	408	417	-	2.78614951652189	proto	51
